Feature,Importance
Credit_Amount,0.09607157338416711
Status_Checking_A14,0.08901896344774263
Duration,0.08593115955324075
Age,0.06488069127079155
Status_Checking_A11,0.047170991733536935
Credit_History_A34,0.03551995572082433
Installment_Rate,0.031021099459234716
Savings_A61,0.028797121768799526
Residence_Since,0.024643606466207356
Status_Checking_A12,0.021531526931603137
Other_Installment_Plans_A143,0.019692967548353636
Employment_A72,0.01869751392916259
Property_A121,0.01843012545295366
Other_Installment_Plans_A141,0.01750509771057475
Savings_A65,0.016505739548176034
Housing_A152,0.01588539035854328
Personal_Status_A93,0.015714661974724736
Property_A124,0.01532327282207409
Purpose_A43,0.014210101523367434
Existing_Credits,0.01416728116105629
Job_A173,0.013688539957950253
Purpose_A40,0.01316223450031808
Telephone_A192,0.013038961403566291
Employment_A73,0.012552879677917293
Employment_A75,0.012411710764261811
Employment_A74,0.01236910052529498
Personal_Status_A92,0.012250640483636699
Property_A123,0.011754628545976399
Telephone_A191,0.01137923548751194
Credit_History_A32,0.011033599085591221
Purpose_A41,0.010719532553027232
Purpose_A42,0.010530475420915696
Property_A122,0.010313081950328897
Job_A174,0.009553515247255983
Job_A172,0.009457808763197987
Credit_History_A33,0.009349188663279577
Liable_People,0.008595370250712275
Housing_A151,0.00831226990982506
Purpose_A46,0.00810343424770806
Status_Checking_A13,0.0073846183280057084
Credit_History_A30,0.007289924512937778
Purpose_A49,0.006925316482578693
Savings_A62,0.006859713965662988
Savings_A64,0.0068595673209927936
Credit_History_A31,0.006760216487538955
Other_Debtors_A103,0.006512859276709213
Other_Debtors_A101,0.006397039736844154
Personal_Status_A94,0.005589795715236676
Employment_A71,0.005475492357476911
Housing_A153,0.0053594212779393925
Savings_A63,0.005101134863704542
Personal_Status_A91,0.004603288513957183
Foreign_Worker_A201,0.004335955111219819
Foreign_Worker_A202,0.004073910675697332
Other_Debtors_A102,0.004012732805658937
Other_Installment_Plans_A142,0.003925905641886327
Purpose_A45,0.0016721166422267878
Job_A171,0.0009002672394307765
Purpose_A410,0.00036636154104389865
Purpose_A44,0.00022989266782716386
Purpose_A48,6.94196320137507e-05
